Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction, stop irritation, consult nearest hospital, stop taking drug, follow up
Malaria, consult nearest hospital, avoid oily food, avoid non-veg food, keep mosquitoes out
Allergy, apply calamine, cover area with bandage, use ice to compress itching
Hypothyroidism, reduce stress, exercise, eat healthy, get proper sleep
Psoriasis, wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths
GERD, avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise
Chronic cholestasis, cold baths, anti-itch medicine, consult doctor, eat healthy
hepatitis A, consult nearest hospital, wash hands thoroughly, avoid fatty spicy food, medication
Osteoarthristis, acetaminophen, consult nearest hospital, follow up, salt baths
(vertigo) Paroymsal Positional Vertigo, lie down, avoid sudden change in body, avoid abrupt head movment, relax
Hypoglycemia, lie down on side, check pulse, drink sugary drinks, consult doctor
Acne, bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products
Impetigo, soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor
Hypertension, meditation, salt baths, reduce stress, get proper sleep
Peptic ulcer disease, avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol
Dimorphic hemmorhoids(piles), avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice
Common Cold, drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check
Chicken pox, use neem in bathing, consume neem leaves, take vaccine, avoid public places
Cervical spondylosis, use heating pad or cold pack, exercise, take otc pain reliver, consult doctor
Hyperthyroidism, eat healthy, massage, use lemon balm, take radioactive iodine treatment
Urinary tract infection, drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics
Varicose veins, lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long
AIDS, avoid open cuts, wear ppe if possible, consult doctor, follow up
Paralysis (brain hemorrhage), massage, eat healthy, exercise, consult doctor
Typhoid, eat high calorie vegitables, antiboitic therapy, consult doctor, medication
Hepatitis B, consult nearest hospital, vaccination, eat healthy, medication
Fungal infection, bath twice, use dettol or neem in bathing water, keep infected area dry, use clean clothes
Hepatitis C, consult nearest hospital, vaccination, eat healthy, medication
Migraine, meditation, reduce stress, use poloroid glasses in sun, consult doctor
Bronchial Asthma, switch to loose cloothing, take deep breaths, get away from trigger, seek help
Alcoholic hepatitis, stop alcohol consumption, consult doctor, medication, follow up
Jaundice, drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication
Hepatitis E, stop alcohol consumption, rest, consult doctor, medication
Dengue, drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated
Hepatitis D, consult doctor, medication, eat healthy, follow up
Heart attack, call ambulance, chew or swallow asprin, keep calm
Pneumonia, consult doctor, medication, rest, follow up
Arthritis, exercise, use hot and cold therapy, try acupuncture, massage
Gastroenteritis, stop eating solid food for while, try taking small sips of water, rest, ease back into eating
Tuberculosis, cover mouth, consult doctor, medication, rest
Anaemia, eat iron rich foods, take vitamin B12 supplements, stay hydrated, regular health check-ups
Anxiety, practice mindfulness, avoid caffeine, maintain a healthy sleep schedule, engage in physical activity
Depression, seek professional help, maintain a support system, engage in regular exercise, practice self-care
Diabetes, monitor blood sugar levels, maintain a healthy diet, engage in regular physical activity, avoid smoking
Glaucoma, regular eye examinations, adhere to prescribed medications, avoid high blood pressure, protect eyes from injury
Gout, maintain a healthy weight, avoid purine-rich foods, stay hydrated, limit alcohol intake
Haematopoiesis, eat a balanced diet, take iron supplements, avoid toxins, stay hydrated
Haemorrhoid, increase fiber intake, stay hydrated, avoid prolonged sitting, practice good hygiene
Hyperpigmentation, use sunscreen, avoid direct sun exposure, stay hydrated, follow a proper skincare routine
Osteoporosis, consume calcium and vitamin D, engage in weight-bearing exercises, avoid smoking, limit alcohol intake
Psychosis, seek professional help, avoid drugs and alcohol, maintain a support system, practice stress management techniques
Parkinson, engage in regular exercise, maintain a healthy diet, stay socially active, seek occupational therapy
Scabies, maintain personal hygiene, avoid close contact, wash clothing and bedding, use prescribed medications
Pyrexia, stay hydrated, rest adequately, seek medical advice for persistent fever, monitor symptoms
Schizophrenia, seek professional help, maintain a routine, engage in supportive therapy, avoid drugs and alcohol
Thrombolysis, follow medical advice, maintain a healthy lifestyle, stay hydrated, monitor for symptoms of bleeding
Constipation, increase fiber intake, stay hydrated, engage in regular physical activity, establish a routine for bowel movements
Alzheimer, regular exercise, mental stimulation, healthy diet, social engagement
ADHD, maintain a consistent routine, use organizational tools, minimize distractions, encourage physical activity